SampleID,Tube.label,station,order,order_layers,NO3,NO2,SiO4,PO4,PB_mean,PB_sd,DCM,depth,temperature,fluorescence,turbidity,latitude,longitude,salinity,oxygen,Chla,Bchla,id_sampleS,id_sample,DCM0,DCM_simple,order_byDCM,ab_aaps,ab_bact,ab_chla,FC_low_dna,FC_high_dna,FC_all_proc,FC_all,FC_.HNA,Syn,Proc,Peuk,Nanos,Bchla_quota,perc_aaps,station00,sample2,fraction,samplePS,sample,MLD,longh
17_100,PSD17-100,17,49,10,19.0323,0.109,6.921,0.558,1.0551106,0.07007426,below_DCM,100,14.2907,0.2481,0.0756,-3.0956,-29.0125,35.4732,2.633,112.8,0,17S_100,17_100,below_DCM,below_DCM,11,4295.9537,276134.4,24582.4,74352.74,49201.79,135276.5,160256.7,39.82192,102.56484,17082.009,383.79102,19.85126,0,1.5557476,17,304,0.2,PS17_100_0.2,304,45,WTRA
18_5,PSD18-5m,18,50,13,0.0133,0.01,0.986,0.002,6.2409385,0.43801903,surf,5,28.11635,0.13095,0.1103,4.42994,-29.53518,35.8448,4.3941,236.76,2.855,18S_5,18_5,surf,surf,12,21002.4403,884489.1,301432.75,298397.28,409243.56,510056,733436.7,57.8321,7612.95808,435467.157,840.36999,29.776889,0.1238845,2.3745278,18,310,0.2,PS18_5_0.2,310,25,WTRA
18_30,PSD18-30m,18,51,16,0.0173,0.009,1.008,0.002,5.3059109,0.93646948,above_DCM,30,26.979,0.1977,0.1009,4.42996,-29.53518,36.0526,4.5218,249.89,1.927,18S_30,18_30,above_DCM,above_DCM,12,26014.3863,1110384.7,394273.08,289084.22,401865.19,488831.3,715436.5,58.1613,6521.1388,403559.566,817.21019,39.702519,0.06752582,2.3428264,18,313,0.2,PS18_30_0.2,313,25,WTRA
18_50,PSD18-50m,18,52,12,1.2913,0.048,2.173,0.019,6.7455566,0.31588791,DCM,50,22.8356,1.4027,0.1546,4.42996,-29.53518,36.2176,3.5075,839.28,3.65,18S_50,18_50,DCM,DCM,12,58870.4765,1623181,441826.9,519843.26,727310.17,968880.7,1275434,58.31762,17670.92964,464489.699,11285.44112,274.609092,0.05651037,3.6268584,18,322,0.2,PS18_50_0.2,322,25,WTRA
19_5,PSD19-5m,19,53,14,0.4233,0.169,0.968,0.002,3.5776517,0.20969573,surf,5,26.89505,0.11645,0.09575,5.99514,-29.74912,36.0759,4.45175,148.87,1.5378,19S_5,19_5,surf,surf,13,34844.9577,1156566.2,369929.35,369904.89,288059.97,527809.6,732734.9,43.78045,7612.95808,181751.516,320.9287,99.256298,0.0402269,3.0127941,19,343,0.2,PS19_5_0.2,F6,30,WTRA
19_25,PSD19-25m,19,54,17,0.0773,0.024,1.038,0.002,4.0006848,0.42548652,above_DCM,25,26.8669,0.147,0.0998,5.99512,-29.7491,36.07365,4.45865,160.95,1.7523,19S_25,19_25,above_DCM,above_DCM,13,27923.699,1075897.7,448688.5,332861.29,263060.76,509752.5,663389.6,44.14348,3880.92126,182320.586,403.64228,129.033188,0.05719949,2.595386,19,346,0.2,PS19_25_0.2,F7,30,WTRA
19_45,PSD19-45m,19,55,18,0.0963,0.038,1.215,0.002,2.816192,0.61181073,above_DCM,45,25.89955,0.4522,0.10275,5.99514,-29.7491,36.0209,4.4947,326.85,2.046,19S_45,19_45,above_DCM,above_DCM,,21479.7685,1021005,283055.62,365883.77,244719.15,506907.4,756083.9,40.07828,4681.58874,265781.899,1164.60723,138.958818,0.08682258,2.1037868,19,349,0.2,PS19_45_0.2,F8,30,WTRA
19_70,PSD19-70m,19,56,13,6.8973,0.353,3.545,0.21,1.498746,0.19647796,DCM,70,19.97,0.8347,0.0927,5.99514,-29.74912,36.0469,3.1522,541.12,0.8778,19S_70,19_70,DCM,DCM,13,8353.2433,685920.6,81861.78,185236.96,190794.45,438017.3,402699.8,50.73897,1323.41731,62584.405,6193.59301,244.832202,0.09578492,1.2178149,19,352,0.2,PS19_70_0.2,F9,30,WTRA
19_100,PSD19-100m,19,57,11,16.1933,0.095,6.473,0.796,0.4169898,0.0790268,deep,100,14.3742,0.1903,0.0706,5.99514,-29.74912,35.533,3.0824,92,0,19S_100,19_100,deep,below_DCM,13,2147.9768,243914.7,24343.74,52312.46,60430.57,105819.9,122359.6,53.60027,95.94776,13958.744,380.48248,9.92563,0,0.8806262,19,355,0.2,PS19_100_0.2,F10,30,WTRA
20_5,PSD20-5m,20,58,15,0.0993,0.025,1.047,0.002,3.7911052,0.33246997,surf,5,25.5904,0.1228,0.1021,9.04936,-29.88177,36.10765,4.5068,122.61,1.2045,20S_5,20_5,surf,surf,14,13365.1893,897854.3,303342.06,296121.17,283583.63,473145.2,647115.4,48.91863,11523.65623,338526.84,1095.12782,105.873385,0.08214637,1.4885699,20,358,0.2,PS20_5_0.2,358,55,WTRA
20_60,PSD20-60m,20,59,14,3.1733,0.213,2.325,0.052,3.1635673,0.45887604,DCM,60,23.2345,1.5205,0.1511,9.04936,-29.88176,36.0675,3.9411,1016.45,3.8214,20S_60,20_60,DCM,DCM,14,48926.1393,1363726.6,271599.74,356836.26,287927.2,607245.7,711396.4,44.65625,8512.88185,180239.512,9134.88799,357.322674,0.07119315,3.5876794,20,361,0.2,PS20_60_0.2,361,55,WTRA
20_70,PSD20-70m,20,60,12,9.5973,0.35,3.909,0.427,2.0249418,0.31381896,below_DCM,70,20.5084,1.1105,0.12,9.04936,-29.88176,35.9817,3.1377,630.9,1.8744,20S_70,20_70,below_DCM,below_DCM,14,25059.7299,810741.9,136038.53,184117.87,192217.01,365921.7,414611.4,51.07605,810.5931,78908.757,5108.39082,112.490471,0.06817773,3.0909626,20,364,0.2,PS20_70_0.2,364,55,WTRA
20_90,PSD20-90m,20,61,13,18.1703,0.196,5.786,0.963,1.6303046,0.01940839,below_DCM,90,16.5255,0.3702,0.0822,9.04936,-29.88178,35.6854,2.1487,209.65,0.4884,20S_90,20_90,below_DCM,below_DCM,,9785.2279,416468.8,32696.98,137343.93,85012.5,220459.7,261088.1,38.23253,234.90657,18693.27,592.22925,3.308543,0.04549476,2.3495702,20,367,0.2,PS20_90_0.2,367,55,WTRA
21_5,PSD21-5m,21,62,16,0.1423,0.043,0.642,0.027,3.8064893,0.3169744,surf,5,24.0255,0.16685,0.10055,12.37616,-29.75386,36.17675,4.6274,178.15,1.8315,21S_5,21_5,surf,surf,15,25537.0581,931983.3,231504.17,192501.52,208225.61,381930.3,447956.3,51.96194,22038.20676,214922.971,1588.10077,33.085433,0.06537214,2.7400768,21,373,0.2,PS21_5_0.2,F11,50,NATR
21_55,PSD21-55m,21,63,19,1.2843,0.103,0.991,0.035,3.8700632,0.11460954,above_DCM,55,23.3413,0.54125,0.1024,12.37616,-29.75386,36.1505,4.46355,459.35,1.4751,21S_55,21_55,above_DCM,above_DCM,15,29355.6836,366110.7,150597.04,305965.33,222678.87,503284.6,607757.8,42.12264,7890.87571,92569.732,7639.42642,519.441294,0.04580216,8.0182529,21,376,0.2,PS21_55_0.2,F12,50,NATR
21_65,PSD21-65m,21,64,15,9.9543,0.438,3.015,0.364,3.7985425,1.0170898,DCM,65,19.85335,0.9133,0.102,12.37616,-29.75386,36.0491,2.92915,622.29,1.2969,21S_65,21_65,DCM,DCM,15,9307.8997,819095.2,102625.56,266607.69,180134.69,458691.9,517111.9,40.32183,1763.45357,53879.627,9574.92424,314.311611,0.12700227,1.1363636,21,379,0.2,PS21_65_0.2,F13,50,NATR
21_80,PSD21-80m,21,65,14,24.7183,0.122,7.293,1.436,0.8900351,0.15347707,below_DCM,80,15.0865,0.3731,0.0758,12.37614,-29.75386,35.6072,1.5865,180.28,0,21S_80,21_80,below_DCM,below_DCM,15,4295.9537,381862.6,45823.51,125906.51,75889.11,151190.2,244624.3,37.60692,92.63921,19437.692,886.6896,26.468346,0,1.125,21,382,0.2,PS21_80_0.2,F14,50,NATR
22_5,PSD22-5m,22,66,17,0.0403,0.021,0.764,0.018,3.4017196,0.09809011,surf,5,23.5599,0.0623,0.093,13.69182,-29.71312,36.3532,4.65995,101.67,1.4553,22S_5,22_5,surf,surf,16,21002.4403,831028.4,494512,254316.72,199291.9,388284.4,506566,43.93477,19302.04147,124794.944,820.51873,49.628149,0.06315961,2.5272832,22,388,0.2,PS22_5_0.2,388,85,NATR
22_40,PSD22-40m,22,67,20,0.0403,0.03,0.788,0.002,2.926785,0.40434873,above_DCM,40,23.4966,0.1454,0.086,13.69182,-29.71312,36.353,4.653,188.07,1.1649,22S_40,22_40,above_DCM,above_DCM,16,22275.3154,861816,288067.56,156178.69,117579.76,208149.7,305358.4,42.95018,14660.15526,173569.489,1406.13089,39.702519,0.0476674,2.5846949,22,391,0.2,PS22_40_0.2,391,85,NATR
22_80,PSD22-80m,22,68,16,6.4183,0.41,2.456,0.192,1.7572583,0.25067993,DCM,80,19.7929,0.866,0.0973,13.69182,-29.71312,36.1825,2.6402,562.34,1.3299,22S_80,22_80,DCM,DCM,16,9546.5638,537232.9,55370.07,206120.22,162456.95,415616.7,412088.7,44.07678,658.40011,75358.69,10544.32742,267.992005,0.12697803,1.776988,22,394,0.2,PS22_80_0.2,394,85,NATR
22_100,PSD22-100m,22,69,15,19.5773,0.151,5.977,1.031,0.9884578,0.06233518,below_DCM,100,16.2647,0.3309,0.076,13.69181,-29.71312,35.8468,1.9249,150.15,0,22S_100,22_100,below_DCM,below_DCM,16,2625.305,426492.7,39379.58,86757.51,70692.01,168849,177156.8,44.89821,122.4161,18895.091,655.09157,13.234173,0,0.6155568,22,397,0.2,PS22_100_0.2,397,85,NATR
23_5,PSD23-5m,23,70,18,0.0413,0.026,0.683,0.002,3.2053342,0.5803661,surf,5,22.9216,0.088,0.08315,16.68902,-29.65582,36.5813,4.70365,108.66,0.6468,23S_5,23_5,surf,surf,,19331.7916,747495.9,257041.23,188233.83,192899.84,333923.5,417968.6,50.61212,3258.91513,190886.404,807.28456,86.022125,0.03049682,2.5862069,23,403,0.2,PS23_5_0.2,403,70,NATR
23_50,PSD23-50m,23,71,21,0.0603,0.045,0.709,0.002,2.8743047,0.33161972,above_DCM,50,22.9156,0.1472,0.082,16.68902,-29.65582,36.5978,4.7083,144.51,0.9042,23S_50,23_50,above_DCM,above_DCM,,19809.1198,671600.8,202625.82,160806.77,185805.98,282028.3,377397.1,53.60622,4357.35149,149724.817,651.78303,86.022125,0.041606,2.949538,23,406,0.2,PS23_50_0.2,406,70,NATR
23_80,PSD23-80m,23,72,22,0.2703,0.167,0.67,0.032,3.5040681,0.63967425,above_DCM,80,22.2405,0.5834,0.0958,16.68902,-29.65582,36.8328,4.6113,211.76,4.1943,23S_80,23_80,above_DCM,above_DCM,,17661.143,745586.6,174702.12,190282.32,190092.65,370379.1,408997,49.97507,2881.74119,104841.119,3834.60166,56.245236,0.21646982,2.368758,23,409,0.2,PS23_80_0.2,409,70,NATR
